# series_id: BIS_BROAD
# description: BIS LBS: Total liabilities to China, all instruments, USD-equiv
# generated: 2026-03-31T23:06:31.158444+00:00
# rows: 43
#
date,value_bn,series_id,instrument,counterparty,currency,position,unit,is_correct_for_slr_hypothesis,note
2015-01-01,2395.010119,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2015-04-01,2543.3565790000002,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2015-07-01,2772.797572,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2015-10-01,2312.475523,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2016-01-01,2526.972335,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2016-04-01,2844.734942,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2016-07-01,2963.21963,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2016-10-01,2972.796101,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2017-01-01,3127.8815449999997,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
2017-04-01,2924.876068,BIS_BROAD,L_INSTR=A (All instruments),CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,False,"Total foreign bank obligations to ALL Chinese counterparties, ALL instruments. Includes loans, bonds, equity, trade finance, swap lines, etc. NOT specific to interbank deposits. NOT the correct series for SLR transmission hypothesis."
