# series_id: BIS_NARROW_DEPOSITS
# description: BIS LBS: Deposits to China (L_INSTR=G), USD-equiv
# generated: 2026-03-31T23:06:31.613074+00:00
# rows: 43
#
date,value_bn,series_id,instrument,counterparty,currency,position,unit,is_correct_for_slr_hypothesis,note
2015-01-01,2154.3673830000002,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
2015-04-01,2140.936467,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
2015-07-01,2411.5066070000003,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
2015-10-01,2005.553234,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
2016-01-01,2182.011205,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
2016-04-01,2410.653831,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
2016-07-01,2559.399733,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
2016-10-01,2488.104418,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
2017-01-01,2634.617663,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
2017-04-01,2485.402468,BIS_NARROW_DEPOSITS,L_INSTR=G,CN (China),TO1 (USD-equivalent),L (Total liabilities),USD billions,True,Deposit/interbank instrument code 'G'. This is the entry point for SLR transmission: Chinese surplus dollars deposited at GlobalBankCo. Correct series for testing deposit -> repo -> basis trade chain.
